ParticipantID, DataType, MazeType, MazeNumber, AttemptNumber, Movement, Error, AudioType, AudioCue, AudioAnswer, Time, MazeLocation, Gender, VideoGame
6, T, Allo, 4, 1, Start, 0, Ego, 0, , 4/14/2021 8:48:33 PM, (9 : 7)
6, T, Allo, 4, 1, Start, 0, Ego, 0, , 4/14/2021 8:48:33 PM, (9 : 7)
6, T, Allo, 4, 1, Start, 0, Ego, 0, , 4/14/2021 8:48:33 PM, (9 : 7)
6, T, Allo, 4, 1, Start, 0, Ego, 0, , 4/14/2021 8:48:33 PM, (9 : 7)
6, T, Allo, 4, 1, Start, 0, Ego, 0, , 4/14/2021 8:48:33 PM, (9 : 7)
6, T, Allo, 4, 1, Start, 0, Ego, 0, , 4/14/2021 8:48:33 PM, (9 : 7)
6, T, Allo, 4, 1, Start, 0, Ego, 0, , 4/14/2021 8:48:33 PM, (9 : 7)
6, T, Allo, 4, 1, Start, 0, Ego, 0, , 4/14/2021 8:48:33 PM, (9 : 7)
6, T, Allo, 4, 1, Start, 0, Ego, 0, , 4/14/2021 8:48:33 PM, (9 : 7)
6, T, Allo, 4, 1, Start, 0, Ego, 0, , 4/14/2021 8:48:33 PM, (9 : 7)
6, T, Allo, 4, 1, Start, 0, Ego, 0, , 4/14/2021 8:48:33 PM, (9 : 7)
6, T, Allo, 4, 1, Start, 0, Ego, 0, , 4/14/2021 8:48:33 PM, (9 : 7)
6, T, Allo, 4, 1, Start, 0, Ego, 0, , 4/14/2021 8:48:33 PM, (9 : 7)
6, T, Allo, 4, 1, Start, 0, Ego, 0, , 4/14/2021 8:48:33 PM, (9 : 7)
6, T, Allo, 4, 1, Start, 0, Ego, 0, , 4/14/2021 8:48:33 PM, (9 : 7)
6, T, Allo, 4, 1, Down, 0, Ego, 0, , 4/14/2021 8:48:33 PM, (13 : 7)
6, T, Allo, 4, 1, Left, 0, Ego, 0, , 4/14/2021 8:48:34 PM, (13 : 5)
6, T, Allo, 4, 2, Start, 0, Ego, 0, , 4/14/2021 8:48:35 PM, (9 : 7)
6, T, Allo, 4, 2, Start, 0, Ego, 0, , 4/14/2021 8:48:35 PM, (9 : 7)
6, T, Allo, 4, 2, Start, 0, Ego, 0, , 4/14/2021 8:48:35 PM, (9 : 7)
6, T, Allo, 4, 2, Start, 0, Ego, 0, , 4/14/2021 8:48:35 PM, (9 : 7)
6, T, Allo, 4, 2, Start, 0, Ego, 0, , 4/14/2021 8:48:35 PM, (9 : 7)
6, T, Allo, 4, 2, Start, 0, Ego, 0, , 4/14/2021 8:48:35 PM, (9 : 7)
6, T, Allo, 4, 2, Start, 0, Ego, 0, , 4/14/2021 8:48:35 PM, (9 : 7)
6, T, Allo, 4, 2, Start, 0, Ego, 0, , 4/14/2021 8:48:35 PM, (9 : 7)
6, T, Allo, 4, 2, Start, 0, Ego, 0, , 4/14/2021 8:48:35 PM, (9 : 7)
6, T, Allo, 4, 2, Start, 0, Ego, 0, , 4/14/2021 8:48:35 PM, (9 : 7)
6, T, Allo, 4, 2, Start, 0, Ego, 0, , 4/14/2021 8:48:35 PM, (9 : 7)
6, T, Allo, 4, 2, Start, 0, Ego, 0, , 4/14/2021 8:48:35 PM, (9 : 7)
