ParticipantID, DataType, MazeType, MazeNumber, AttemptNumber, Movement, Error, AudioType, AudioCue, AudioAnswer, Time, MazeLocation, Gender, VideoGame
1, T, Ego, 1, 1, Rotate Left, 6, Ego, 0, , 4/14/2021 7:42:46 PM, (9 : 10)
1, T, Ego, 1, 1, Forward, 6, Ego, 0, , 4/14/2021 7:42:47 PM, (11 : 10)
1, T, Ego, 1, 1, Rotate Left, 6, Ego, 0, , 4/14/2021 7:42:47 PM, (11 : 10)
1, T, Ego, 1, 1, Rotate Right, 6, Ego, 0, , 4/14/2021 7:42:47 PM, (11 : 10)
1, T, Ego, 1, 1, Rotate Right, 6, Ego, 0, , 4/14/2021 7:42:47 PM, (11 : 10)
1, T, Ego, 1, 1, Forward, 6, Ego, 0, , 4/14/2021 7:42:48 PM, (11 : 9)
1, T, Ego, 1, 1, Rotate Left, 6, Ego, 0, , 4/14/2021 7:42:48 PM, (11 : 9)
1, T, Ego, 1, 1, Rotate Left, 6, Ego, 0, , 4/14/2021 7:42:48 PM, (11 : 9)
1, T, Ego, 1, 1, Forward, 7, Ego, 0, , 4/14/2021 7:42:48 PM, (11 : 10)
1, T, Ego, 1, 1, Forward, 7, Ego, 0, , 4/14/2021 7:42:49 PM, (11 : 13)
1, T, Ego, 1, 1, Rotate Right, 7, Ego, 0, , 4/14/2021 7:42:50 PM, (11 : 13)
1, T, Ego, 1, 1, Forward, 7, Ego, 0, , 4/14/2021 7:42:50 PM, (13 : 13)
1, T, Ego, 1, 1, Rotate Right, 7, Ego, 0, , 4/14/2021 7:42:50 PM, (13 : 13)
1, T, Ego, 1, 1, Forward, 7, Ego, 0, , 4/14/2021 7:42:52 PM, (13 : 7)
1, T, Ego, 1, 1, Rotate Left, 7, Ego, 0, , 4/14/2021 7:42:52 PM, (13 : 7)
1, T, Ego, 1, 2, Forward, 0, Ego, 0, , 4/14/2021 7:42:54 PM, (1 : 9)
1, T, Ego, 1, 2, Rotate Left, 0, Ego, 0, , 4/14/2021 7:42:54 PM, (1 : 9)
1, T, Ego, 1, 2, Forward, 0, Ego, 0, , 4/14/2021 7:42:56 PM, (7 : 9)
1, T, Ego, 1, 2, Rotate Right, 0, Ego, 0, , 4/14/2021 7:42:56 PM, (7 : 9)
1, T, Ego, 1, 2, Forward, 0, Ego, 0, , 4/14/2021 7:42:57 PM, (7 : 7)
1, T, Ego, 1, 2, Rotate Right, 0, Ego, 0, , 4/14/2021 7:42:57 PM, (7 : 7)
1, T, Ego, 1, 2, Forward, 0, Ego, 0, , 4/14/2021 7:42:57 PM, (5 : 7)
1, T, Ego, 1, 2, Rotate Left, 0, Ego, 0, , 4/14/2021 7:42:57 PM, (5 : 7)
1, T, Ego, 1, 2, Forward, 0, Ego, 0, , 4/14/2021 7:42:58 PM, (5 : 5)
1, T, Ego, 1, 2, Rotate Right, 0, Ego, 0, , 4/14/2021 7:42:58 PM, (5 : 5)
1, T, Ego, 1, 2, Forward, 0, Ego, 0, , 4/14/2021 7:42:59 PM, (3 : 5)
1, T, Ego, 1, 2, Rotate Left, 0, Ego, 0, , 4/14/2021 7:42:59 PM, (3 : 5)
